question,correct_answer,model_answer,confidence_score,sentence_transformer_score,f1_score,human
Τι χρειαζόμαστε για να φτιάξουμε εσπρέσο;,Ζεστά φλιτζάνια και ζεστή μηχανή, ζεστά φλιτζάνια και ζεστή μηχανή.,0.947444439,1,0.909,yes
Τι τονίζει η έκθεση της Greenpeace;,Τους κινδύνους που απειλούν τη Μεσόγειο, τους κινδύνους που απειλούν τη Μεσόγειο,0.382386744,1,0.923,yes
Ποιες οι συνέπειες της περιορισμένη άσκηση σε συνδυασμό με την κακή διατροφή;,Καρδιοαγγειακές παθήσεις," καρδιοαγγειακές παθήσεις,",0.677066922,1,0.8,yes
Ποια είναι η ιδανική συχνότητα άσκησης;,πέντε φορές την εβδομάδα, πέντε φορές την εβδομάδα,0.664896727,1,0.889,yes
Πόση είναι η μέση ανώτατη ημερήσια τιμή συγκέντρωσης αιωρούμενων σωματιδίων; ,50 μικρογραμμάρια ανά κυβικό μέτρο, 50 μικρογραμμάρια ανά κυβικό μέτρο,0.580411613,1,0.909,yes
Από ποιούς παράγοντες καθορίζεται ο βαθμός έκθεσής μας στα αιωρούμενα σωματίδια;,"Το ύψος, η ώρα, η εποχή"," το ύψος, η ώρα, η εποχή.",0.792766988,1,0.769,yes
Πώς εισέρχονται τα αιωρούμενα σωματίδια στον οργανισμό;,Μέσω της αναπνοής, μέσω της αναπνοής.,0.866927981,1,0.857,yes
Πώς λένε την εκπομπή ;,«Διαδρομές», «Διαδρομές»,0.586586475,1,0.667,yes
Πώς λένε την παρουσιάστρια ;,Βίκυ, Βίκυ.,0.768851757,1,0.667,yes
Πόσο απέχει η Αίγινα από τον Πειραιά ;,16 ναυτικά μίλια, 16 ναυτικά μίλια,0.982275128,1,0.857,yes
Πώς λένε τον ανθρώπο που πήδηξε από τα 39.000 μέτρα ;,Φέλιξ Μπαουμγκάρτνερ," Φέλιξ Μπαουμγκάρτνερ,",0.88694936,1,0.8,yes
Πού έμαθε ο Φέλιξ να ακολουθεί τους κανόνες ;,στο στρατό, στο στρατό,0.33888644,1,0.8,yes
Πόσα άλματα έχει κάνει ο Φέλιξ ;,2.6,2.6,0.744747758,1,0.667,yes
Τι επαγγελμα έκανε η μητέρα του Φέλιξ ;,αγρότισσα, αγρότισσα.,0.980950773,1,0.667,yes
Τι πέταξε την Αμαλία απο τη θέση της ;,ένα απότομο φρενάρισμα, ένα απότομο φρενάρισμα,0.647154152,1,0.857,yes
Τι έκαναν τα ζώα για να ανέβουν με ασφάλεια στην καμηλοπάρδαλη ;,βοηθούσαν το ένα το άλλο," βοηθούσαν το ένα το άλλο,",0.481604099,1,0.727,yes
Τι ατομικό αριθμό έχει ο χρυσός ;,79," 79,",0.965449393,1,0.667,yes
Γιατί προπονούταν η ποδοσφαιρική ομάδα ;,για ένα μεγάλο τουρνουά, για ένα μεγάλο τουρνουά.,0.409746468,1,0.889,yes
Τι συνέβη όσο τραγουδούσε ο Τσάρλι ; ,η φωνή του τσίριζε, η φωνή του  τσίριζε.,0.38982144,1,0.8,yes
Πότε έφερε ο μπαμπάς την πίτα ;,μετά το φαγητό," μετά το φαγητό,",0.403615087,1,0.857,yes
Ποιοι έχουν ψηφιακό πομπό στο σακάκι τους ;,Οι εργαζόμενοι, Οι εργαζόμενοι,0.635439575,1,0.8,yes
Που κάθονται οι βουφάγοι ;,πάνω στην πλάτη του ρινόκερου, πάνω στην πλάτη του ρινόκερου,0.662543893,1,0.909,yes
Γιατί κυνηγούν ακόμη τους ρινόκερους ;,για τα κέρατά τους, για τα κέρατά τους.,0.659457207,1,0.889,yes
Πού κρύβονται τα τσιμπούρια ;,στα δέντρα και στους θάμνους," στα δέντρα και στους θάμνους,",0.78718245,1,0.909,yes
Πού ξύνονται οι ρινόκεροι ;,στα δέντρα και στα βράχια," στα δέντρα και στα βράχια,",0.930680037,1,0.727,yes
Τι χρειάζονται τα τσιμπούρια για να ζήσουν ;,αίμα, αίμα.,0.942161679,1,0.667,yes
Πόσα είδη τσιμπουριών υπάρχουν ;,εκατοντάδες, εκατοντάδες,0.81837523,1,0.667,yes
Τι αποτέλεσε έμπνευση για τον Κωνσταντίνο Βολανάκη;,Η θάλασσα και η ναυτική ζωή., τη θάλασσα και τη ναυτική ζωή.,0.527358651,0.998,0.615,yes
Ποια ειναι η μοναδική υπεράσπιση των εργαζομένων ;,τα οργανωμένα εργασιακά σωματεία, οργανωμένα εργασιακά σωματεία,0.726684093,0.997,0.75,yes
Ποιο θα είναι το θέμα της επόμενης εκπομπής;,Λογοτεχνία της Γενιάς του 30, λογοτεχνία της Γενιά του 30.,0.631128907,0.996,0.727,yes
Πώς λέγονται οι 2 κτηνίατροι;,Κυρία Μάνου και κύριος Παύλου, κυρία Μάνου και τον κύριο Παύλου.,0.498462588,0.996,0.667,yes
Τι περιλαμβάνει το δίκτυο που προτείνει η Greenpeace;,Tριάντα δύο θαλάσσια καταφύγια," τριάντα δύο θαλάσσια καταφύγια,",0.708222508,0.996,0.667,yes
Ποια είναι τα μοναδικά «έγχρωμα μέταλλα» ;,ο χρυσός και ο χαλκός, χρυσός και ο χαλκός,0.811835349,0.995,0.8,yes
"Τι φάνηκε σαν ένας ανόητος τρόπος, για να περάσει κάποιος το καλοκαίρι του ;",το σκάψιμο στον κήπο, σκάψιμο στον κήπο,0.6423015,0.994,0.75,yes
Ποιος έφερε την πίτα ;,ο μπαμπάς, μπαμπάς,0.564160347,0.988,0.5,yes
Ποιοι λειτουργουν σαν μηχανές καταχώρησης εργασιακών πρακτικών των εργαζομένων ;,Οι υπολογιστές, υπολογιστές,0.735518515,0.987,0.5,yes
Τι γινόταν την τελευταία μέρα των Ολυμπιακών αγώνων;,Η απονομή των στεφάνων, απονομή των στεφάνων.,0.51683712,0.986,0.75,yes
Ποιος έγραψε το ποίημα «Ύμνος εις την Ελευθερίαν»;,Ο Διονύσιος Σολωμός, Διονύσιος Σολωμός.,0.596616387,0.986,0.667,yes
Ποιό εμπορικό θαλάσσιο είδος αναφέρεται στο κείμενο;,Ο ερυθρός τόνος, ερυθρός τόνος,0.780477822,0.982,0.667,yes
Πότε γεννήθηκε ο Φέλιξ ;,το 1949," 1949,",0.966482103,0.982,0.5,yes
"Τι είναι πιο επιβαρυντικό, οι εξατμίσεις των αυτοκινήτων ή οι εκπομπές μιας βιομηχανίας;",Οι εξατμίσεις των αυτοκινήτων, εξατμίσεις π.χ. των αυτοκινήτων,0.412304521,0.98,0.667,yes
Με τι συνδυάζεται η περιορισμένη άσκηση;,Με κακή διατροφή, κακή διατροφή,0.961508095,0.979,0.667,yes
Ποιος ειναι ο καλύτερος φιλος του ;,ο Στάνλεϊ  , Στάνλεϊ.,0.595724165,0.978,0.667,yes
Ποιο είναι το μεγαλύτερο νησί του Αργοσαρωνικού ;,Η Σαλαμίνα, Σαλαμίνα.,0.988801777,0.977,0.5,yes
Με τί έκοβαν τα κλαδιά της ελιάς;,Με χρυσό ψαλίδι, χρυσό ψαλίδι,0.912606299,0.976,0.667,yes
Σε πόση ώρα γίνεται ο καφές φίλτρου;,Σε 1 περίπου λεπτό, 1 περίπου λεπτό.,0.950494766,0.972,0.75,yes
Ποιος κατηκούσε στο Κυβερνείο που βρίσκεται στο κέντρο της πόλη ;,ο Ιωάννης Καποδίστρια," Ιωάννη Καποδίστρια,",0.930951059,0.97,0.333,yes
Ποιος ήταν ο πρώτος κυβερνήτης της Ελλάδας ;,ο Ιωάννης Καποδίστρια," Ιωάννη Καποδίστρια,",0.980891585,0.97,0.333,yes
Τι είναι η καρέτα;,Θαλάσια χελώνα, θαλάσσια χελώνα,0.964406133,0.968,0.4,yes
Ποια τροφή αρέσει πολύ στην καρέτα;,Οι τσούχτρες, τσούχτρες.,0.987057388,0.966,0.5,yes
Ποιος καφές φτιάχνεται πιο δύσκολα στο σπίτι;,Ο εσπρέσο, εσπρέσο,0.637310445,0.962,0.5,yes
Ποιον είδε όταν σήκωσε το κεφάλι του ;,τον Ντέιβ," Ντέιβ,",0.547711372,0.962,0.5,yes
Ποιος είναι υπεύθυνος για την ενημέρωση των παιδιών;,Το σχολείο, σχολείου,0.644976437,0.96,0,yes
Τι ρουφάει το αίμα των ζώων ;,το τσιμπούρι, τσιμπούρι,0.730630755,0.958,0.5,yes
Πόσο διαρκούσε η εορτή των Ολυμπιακών αγώνων;,πέντε ημέρες," πέντε ημερών,",0.986552954,0.955,0.4,yes
Ποιές οι συνέπειες της ανεξέλεγκτης εκμετάλλευσης της Μεσογείου;,Η καταστροφή της ζωής στη Μεσόγειο, καταστροφή της ζωής της Μεσογείου.,0.380699635,0.951,0.5,yes
Ποιο είναι το υψηλότερο βουνό στην Αίγινα ;,το Ελλάνιο," Ελλάνιο,",0.914196908,0.951,0.5,yes
Τι επαγγελμα έκανε ο πατέρας του Φέλιξ ;,ξυλουργός, ξυλουργό,0.940419972,0.95,0,yes
Πόσο χρόνο χρειάζεται για να γίνει ο Ελληνικός καφές;,Περίπου 4 λεπτά," 4 λεπτά,",0.745930612,0.945,0.667,yes
Με τι δεν διαλύεται ο χρυσός ;,με νιτρικό οξύ," νιτρικό οξύ,",0.058521792,0.945,0.667,yes
Πότε έγιναν οι πρώτοι Ολυμπιακοί αγώνες της αρχαιότητας;,το 776 π.Χ., 776 π.Χ.,0.528814077,0.942,0.667,yes
Πού ήταν το ψηλότερο κτίριο στον κόσμο μέχρι τότε ;,στον Πύργο Ταϊπέι στην Ταϊβάν, Πύργο Ταϊπέι στην Ταϊβάν.,0.733417571,0.939,0.8,yes
Τι έκανε ενστικτωδώς η Αμαλία ;,έκλεινε τα μάτια της, έκλεινε από ένστικτο τα μάτια της,0.492224485,0.936,0.727,yes
Τι θα ετοιμάσει η μαμά του Τσάρλι ;,δείπνο με λαχανικά από τον κήπο, δείπνο με λαχανικά από τον κήπο μου,0.838900447,0.934,0.857,yes
Με τι μοιάζει ο λαιμός της μεσογειακής φώκιας;,Με κουκούλα μοναχού," κουκούλα μοναχού,",0.970071852,0.928,0.667,yes
Τι συμβαίνει στο μέσο προσδόκιμο επιβίωσης των ανθρώπων εξαιτίας των αιωρούμενων σωματιδίων;,Μειώνεται, μειώνουν,0.897226334,0.924,0,yes
Σε πόσα χρόνια έγινε ο Φέλιξ παγκόσμιος πρωταθλητής ;,Σε δύο, δύο,0.498867601,0.921,0.5,yes
Σε τι πρωταγωνιστεί η Ελλάδα;,Στην παιδική παχυσαρκία, παιδική παχυσαρκία.,0.181770265,0.911,0.667,yes
Πού είχε ζωγραφιστεί ο τρόμος της Αμαλίας ;,Στα μάτια της, Στα μάτια,0.840064645,0.906,0.667,yes
Για ποιο λόγο ο χρυσός βρίσκεται συχνά στην ελεύθερη στοιχειακή μορφή ;,Είναι ένα από τα λιγότερο δραστικά χημικά στοιχεία., ένα από τα λιγότερο δραστικά χημικά στοιχεία.,0.419352323,0.899,0.875,yes
Τι έγινε με τους Ολυμπιακούς αγώνες όταν επικράτησαν οι Ρωμαίοι;,Το ευγενικό πνεύμα των αγώνων άρχισε να νοθεύεται με βίαια θεάματα, το ευγενικό πνεύμα των αγώνων άρχισε να νοθεύεται,0.087251708,0.89,0.8,yes
Από τι είχε δυνατά μπράτσα ο χωρικός ;,απ΄τη δουλειά, δουλειά,0.844097555,0.885,0.5,yes
Σε τι διαλύεται ο χρυσός και σχηματίζει αμαλγάματα ;,σε υδράργυρο, υδράργυρο,0.9722386,0.884,0.5,yes
Από τι καταγράφεται η είσοδος των εργαζομένων στο γραφείο ;,απο τα φωτοκύτταρα, φωτοκύτταρα,0.844453931,0.882,0.4,yes
Πώς καταλαβαίνουμε τον καλό εσπρέσο;,Από το καϊμάκι, από το καϊμάκι του.,0.727706254,0.876,0.75,yes
Σε ποια τροφή δείχνει ιδιαίτερη προτίμησή η καρέτα;,Στις τσούχτρες, τσούχτρες.,0.970939577,0.864,0.5,yes
Για ποιο πράγμα μιλούσαν τα ζώα κάθε πρωί ;,για να πουν τα νέα της ζούγκλας, τα νέα της ζούγκλας.,0.624691308,0.849,0.667,yes
’πο που έβγαλε ο μπαμπάς ένα φθαρμένο κομμάτι χαρτί ;,από ένα βιβλίο συνταγών, ένα βιβλίο συνταγών.,0.422067434,0.846,0.75,yes
Που είναι πιο έντονο το φαινόμενο της παχυσαρκίας;,Στις μεγαλουπόλεις," μεγαλουπόλεις,",0.591639042,0.842,0.5,yes
Ποιοι διαπίστωσαν πως τα τροπικά ψάρια είναι επικίνδυνα;,Ερευνητές των Ηνωμένων Πολιτειών, Ερευνητές,0.834615946,0.838,0.333,partially
Γιατί δυσκολεύονται οι ρινόκεροι να εντοπίσουν τους εχθρούς τους ;,Οι ρινόκεροι δεν μπορούν να δουν μακριά, δεν μπορούν να δουν μακριά,0.414307714,0.834,0.769,yes
Γιατί πήρε σύνταξη ο Φέλιξ ;,Νιώθω πως το σώμα μου γερνάει σιγά-σιγά, το σώμα μου γερνάει σιγά-σιγά.,0.031385079,0.833,0.769,yes
Τι διαφορά έχουν συνήθως οι αρσενικές από τις θυληκές φώκιες;,Είναι πιο σκούρες, πιο σκούρα,0.762552917,0.832,0.333,yes
Τι θα επιφέρουν οι χρήσεις και καταχρήσεις της ψηφιακής τεχνολογίας ;,αναμένεται να στιγματίσουν τη σχέση μεταξύ εργοδοτών και εργαζομένων στον 21ο αιώνα, αναμένεται να στιγματίσουν τη σχέση μεταξύ εργοδοτών και εργαζομένων,0.339004964,0.821,0.818,yes
Πόσες φορές ξεπερνιούντα οι μέσες ημερήσιες τιμές στο κέντρο της Αθήνας;,Πάνω από 150 φορές το χρόνο, 200 φορές το χρόνο,0.35849905,0.819,0.545,no
Τι προτείνεται για προστασία από την ακτινοβολία;,Η χρήση θηκών προστασίας, θηκών προστασίας,0.400284141,0.818,0.571,yes
Ποιά είναι καλή λύση για αυτούς που μιλούν κατά την οδήγηση;,Η χρήση θηκών προστασίας, θηκών προστασίας,0.835018277,0.818,0.571,yes
Από τι μπορεί να διαβρωθεί ο χρυσός ;,από το αποκαλούμενο βασιλικό ύδωρ, βασιλικό ύδωρ,0.693041921,0.814,0.5,yes
Ποια περίοδο γεννάει η μεσογειακή φώκια;,Σεπτέμβριο-Οκτώβριο, (Σεπτέμβριο-Οκτώβριο),0.976593852,0.81,0,yes
Τι αναγγελόταν μαζί με το όνομα του αθλητή στην απονομή του στεφανιού;,Το όνομα του πατέρα του και της πατρίδας του, αυτό του πατέρα του και της πατρίδας του,0.506657779,0.808,0.556,yes
Τι έχουν αποδείξει διεθνείς επιστημονικές μελέτες;,Η χρόνια εισπνοή αιωρούμενων σωματιδίων προκαλεί σοβαρές καρδιακές βλάβες," προκαλεί σοβαρές καρδιακές βλάβες,",0.047433387,0.776,0.571,partially
Πού βρίσκεται πιο σπάνια ο χρυσός ;,"σε ορυκτά που περιέχουν χημικές ενώσεις χρυσού, συχνά με το χημικό στοιχείο τελλούριο (Te), δηλαδή τελλουρίδια του χρυσού."," ορυκτά που περιέχουν χημικές ενώσεις χρυσού,",0.419187874,0.771,0.48,yes
Ποιος μετακόμισε δίπλα στον Στάνλεϊ ;,ο Τζέρεμι, Τζέρεμι Ρος,0.928405643,0.767,0.4,yes
Γιατί κανείς δεν άκουσε την καμηλοπάρδαλη ;,Ήταν πάρα πολύ ψηλή, Η καμηλοπάρδαλη ήταν πάρα πολύ ψηλή.,0.617615819,0.765,0.727,yes
Τι ονομάζει το κείμενο ως μία σωστή Κόλαση ;,το ορεινό βουνό," ορεινό χωριό,",0.050606478,0.762,0.333,partially
Πότε γίνεται χρήση αντιβιοτικών στο ενυδρείο;,Όταν το έχει συστήσει κτηνίατρος, εκτός αν το έχει συστήσει κτηνίατρος.,0.319410771,0.756,0.667,yes
Τι ήταν τα «επινίκια»;,"Πομπές και γενικό φαγοπότι, συνοδευόμενο από τραγούδι και μουσική"," τραγούδι και μουσική,",0.369335353,0.755,0.462,partially
Ποιοι πρέπει να συνεργαστούν για να πετύχει η προσπάθεια της Greenpeace;,"Οι τοπικοί φορείς, οι αλιείς, οι πολίτες και οι κυβερνήσεις, η επιστημονική κοινότητα και οι περιβαλλοντικές οργανώσεις"," τοπικούς φορείς, τους αλιείς, τους πολίτες και τις κυβερνήσεις,",0.214308381,0.753,0.37,partially
Γιατί είναι έντονο το φαινόμενο της παχυσαρκίας στις μεγαλουπόλεις;,Γιατι υπάρχει περιορισμένος χώρος, περιορισμένος χώρος.,0.605010986,0.753,0.571,yes
"Τι έκαναν τα ζώα, μόλις ο ήλιος βγήκε έξω ξανά ;","γλίστρησαν στο έδαφος, κατρακυλώντας στην πλάτη της."," γλίστρησαν στο έδαφος,",0.317582577,0.753,0.545,yes
Ποιοι επιβαρύνονται σημαντικά από τα αιωρούμενα σωματίδια;,Όσοι υποφέρουν από χρόνιες παθήσεις των πνευμόνων, χρόνιες παθήσεις των πνευμόνων,0.266550303,0.751,0.667,yes
Ποιο είναι το πιο ανησυχητικό ζήτημα ;,η ολοκληρωτική έλλειψη νομικού πλαισίου, η ολοκληρωτική έλλειψη νομικού πλαισίου προστασίας των εργαζομένων,0.045900863,0.746,0.714,yes
Τι κάνουν τα νεογέννητα χελωνάκια όταν βγουν από τα αυγά τους;,Ανεβαίνουν όλα μαζί στην επιφάνεια της άμμου και τρέχουν αμέσως προς την θάλασσα, τρέχουν αμέσως προς την θάλασσα.,0.100181468,0.745,0.526,yes
Ποιοι δεν αθλούνται συστηματικά στην Ελλάδα;,"Παιδιά, έφηβοι και ενήλικες", ενήλικες,0.715418696,0.737,0.333,partially
Ποια φύλλα έτρωγε η καμηλοπάρδαλη ;,τα πιο γλυκά φύλλα, πιο γλυκά,0.287338555,0.725,0.571,partially
Πόσο πληθυσμό έχει η Αίγινα ;,17.000 κατοίκους,17,0.449146897,0.721,0.5,no
Γιατί ετοιμαζόταν η χορωδία ;,για μια μεγάλη συναυλία, ετοιμάζεται για μια μεγάλη συναυλία».,0.387754112,0.717,0.6,yes
Ποια μπορεί να είναι η κατάληξη αν μεταδοθεί η λοίμωξη από ψάρι σε άνθρωπο;,Θάνατος του ασθενούς , ακόμα και ο θάνατος,0.246720836,0.708,0.444,yes
Ποια προβλήματα έχουν ως αποτέλεσμα την ελάχιστη συμμετοχή σε αθλητικές δραστηριότητες;,"Απαιτητικά ωράρια εργασίας, δυσκολίες στη μετακίνηση, η αίσθηση κόπωσης μετά τη δουλειά"," (απαιτητικά ωράρια εργασίας, δυσκολίες στη μετακίνηση,",0.003826906,0.706,0.526,partially
Πώς βοηθάει ο βουφάγος τον ρινόκερο ασφαλή;,κρατά τον ρινόκερο ασφαλή από τους εχθρούς του, από τους εχθρούς του.,0.325651199,0.704,0.615,yes
"Εκτός απο την διάρκεια της άσκησης, τι άλλο παίζει πολύ σημαντικό ρόλο;",Η συχνότητα της άσκησης, συχνότητα,0.462825418,0.698,0.333,yes
Τι φυλλάδιο είδε ο Τσάρλι ;,για ένα μουσικό συγκρότημα, ένα νέο μουσικό συγκρότημα.,0.210904077,0.692,0.667,yes
Πού βρισκόταν ο Τσάρλι οσο φύτευε σπόρους ;,"στον κήπο του, μπράτσα από το σπίτι του", μπροστά από το σπίτι του.,0.777680099,0.681,0.571,yes
Τι μπορούμε να δούμε στο Ελληνικό Κέντρο Περίθαλψης ’γριων Ζώων ;,"είδη άγριων ζώων, κυρίως πουλιά"," διάφορα είδη άγριων ζώων,",0.523196518,0.68,0.6,yes
Γιατί τα μικρά ζώα της ζούγκλας είχαν φοβηθεί την καμηλοπάρδαλη ;,επειδή φοβόντουσαν μήπως τα πατήσει με τα μεγάλα της πόδια, μήπως τα πατήσει με τα μεγάλα της πόδια.,0.580756903,0.677,0.737,yes
Τι προκύπτει από τα πορίσματα προηγούμενων μελετών;,Τα πορίσματα μας μπερδεύουν, μάλλον μας μπερδεύουν.,0.337094724,0.659,0.5,yes
Πώς φαινόταν ο Τζέρεμι οταν άνοιξε την πόρτα ;,ξαφνιασμένος, ξαφνιασμένος.«Μπορείς,0.903969824,0.64,0,yes
Τι είπε η καμηλοπάρδαλη στα ζώα ;,"«Ανεβείτε στην πλάτη μου. Όπου να ναι, το νερό φτάνει εδώ.»", «Ανεβείτε στην πλάτη μου.,0.214427218,0.633,0.5,partially
Πώς θεωρείται παραδοσιακά ότι προήλθε ο χρυσός ;,"προήλθε από πυρηνοσύνθεση σε υπερκαινοφανείς αστέρες, που τροφοδοτούν τους δίσκους σκόνης από τους οποίους σχηματίζονται τα διάφορα αστρικά συστήματα."," πυρηνοσύνθεση σε υπερκαινοφανείς αστέρες,",0.632333517,0.629,0.333,partially
Τι έκανε ο άντρας μπροστά από την Αμαλία;,κάπνιζε, κάπνιζε το ένα τσιγάρο πίσω από το άλλο,0.646090209,0.618,0.2,yes
Γιατί είναι πλέον δύσκολο να κάνεις ζωντανές εμφανίσεις ;,Οι δήμαρχοι ζητούν πολλά χρήματα για να παραχωρήσουν ένα θέατρο στους καλλιτέχνες., Οι δήμαρχοι ζητούν πολλά χρήματα,0.027045896,0.613,0.556,partially
Τι σταμάτησε να προσπαθεί να κάνει η καμηλοπάρδαλη όλο το καλοκαίρι ;,σταμάτησε να προσπαθεί να μιλήσει σε κάποιον, να μιλήσει σε κάποιον.,0.605362892,0.604,0.667,yes
"Τι άλλο θα προστατέψουν τα θαλάσσια καταφύγια, εκτός από τα οικοσυστήματα;",Τα εκατομμύρια των ανθρώπων που στηρίζουν την επιβίωσή τους στη θάλασσα, τα εκατομμύρια των ανθρώπων,0.451668411,0.588,0.5,partially
Σε τι ποσοστό της θάλασσας αντιστοιχούν οι προστατευόμενες περιοχές;,1%,40%,0.872330368,0.581,0,no
Πόσα χελωνάκια επιζούν και ενηλικιώνονται;,Μόνο ένα στα χίλια, ένα.,0.411055088,0.568,0.333,partially
Ποιον κτηνίατρο ρώτησε πρώτα ο δημοσιογράφος;,Την κυρία Μάνου, Παύλου:,0.401634634,0.563,0,no
Τι έχει φέρει τα πρώτα ψηφιακά στρατόπεδα εργασίας ;,Η συστηματική επιστράτευση της ψηφιακής τεχνολογίας στη υπηρεσία της αύξησης της εργασιακής αποδοτικότητας, ψηφιακής τεχνολογίας,0.424338907,0.559,0.25,no
Τι αρέσει στους ρινόκερους να τρώνε ;,χορτάρι, χορτάρι και φύλλα,0.311694264,0.558,0.4,partially
Σε ποια ομάδα του περιοδικού συστήματος περιλαμβάνεται ο χρυσός ;,στην ομάδα 11 (πρώην ΙΒ),11,0.562818646,0.555,0.286,yes
Γιατί δεν έκανε συναυλίες φέτος το καλοκαίρι;,Είναι δύσκολο πλέον να κάνεις ζωντανές εμφανίσεις. Οι δήμαρχοι ζητούν πολλά χρήματα για να παραχωρήσουν ένα θέατρο στους καλλιτέχνες., Είναι δύσκολο πλέον να κάνεις ζωντανές εμφανίσεις.,0.284864336,0.549,0.519,partially
Γιατί δεν έκανε συναυλίες φέτος ;,Είναι δύσκολο πλέον να κάνεις ζωντανές εμφανίσεις. Οι δήμαρχοι ζητούν πολλά χρήματα για να παραχωρήσουν ένα θέατρο στους καλλιτέχνες., Είναι δύσκολο πλέον να κάνεις ζωντανές εμφανίσεις.,0.122919723,0.549,0.519,partially
Τι καταδεικνύει η νέα έκθεση της Greenpeace; ,Πως η ζωή της Μεσογείου μπορεί να προστατευθεί μέσα από τη δημιουργία θαλάσσιων καταφυγίων, κινδύνους που απειλούν τη Μεσόγειο,0.330358803,0.539,0.1,no
Τι είχαν κάνει οι λιγοστές χωρικές του λεωφορείου ;,είχαν κατεβεί στα διάφορα χωριά όπου έκανε στάσεις το πράσινο όχημα., κατεβεί στα διάφορα χωριά,0.43246299,0.539,0.5,partially
Τι μήκος έχει μία ενήλικη φώκια;,"Μπορεί και να φτάσει 3,80 μ., αλλά συνήθως δεν ξεπερνά τα 2,5μ"," 3,80 μ.,",0.415109813,0.522,0.267,partially
Τι χρώμα πρέπει να έχει το καϊμάκι του εσπρέσο;,Το χρώμα της καραμέλας, καραμέλας,0.839641809,0.518,0.333,yes
Τι κάνει η εσωτερική επένδυση της θήκης προστασίας ακτινοβολίας;,Αντανακλά την ακτινοβολία, αντανακλά.,0.897751272,0.51,0.4,partially
Πώς γνωρίζει ο εργοδότης αν κάποιος υπάλληλος χρησιμοποιεί το τηλέφωνο για λόγους εκτός της εργασίας ;,Τα τηλέφωνα παρακολουθούνται ολόκληρο το εικοσιτετράωρο από λογισμικά καταγραφής των αριθμών κλήσης., λογισμικά καταγραφής των αριθμών κλήσης.,0.133655682,0.509,0.556,partially
Που γεννήθηκε ο Φέλιξ ;,στο Σάλτσμπουργκ," Σάλτσμπουργκ το 1949,",0.414803833,0.507,0.333,partially
Τι κλίμα έχει η Αίγινα ;,"ξηρό και υγιεινό, γλυκό το χειμώνα και δροσερό το καλοκαίρι"," ξηρό και υγιεινό,",0.162435442,0.496,0.429,partially
Γιατί θα πρέπει να απομακρύνεται ένα άρρωστο ψάρι απο το ενυδρείο;,partially, προκειμένου να μην κολλήσουν κάποια ασθένεια,0.069953419,0.459,0.286,partially
Γιατί η καρέτα απειλείται με εξαφάνιση;,Λόγω της καταστροφής του βιότοπου εξαιτίας ανθρώπινων δραστηριοτήτων," καταστροφή των βιότοπων,",0.793510556,0.459,0,yes
